division,miles_from_MA_border_nb,miles_from_div_start_nb,location,elevation_ft,elevation_m,miles_from_div_start_sb
division3,36.0,21.7,Black Brook bridge,2220.0,677.0,0.9
division3,36.8,22.5,"Kelley Stand Road, south junction",2240.0,683.0,0.1
division3,36.9,22.6,Stratton–Arlington/Kelley Stand Road; Stratton Mtn. parking lot,2230.0,680.0,0.0
division2,38.3,1.4,"IP Road, south intersection",2520.0,768.0,21.6
division2,40.7,3.8,"Stratton Mtn. fire tower; Stratton Mtn., north peak (3875 ft / 1181 m), 0.7 mi N via old service road; Stratton Ski Area 3.1 mi",3940.0,1201.0,19.2
division2,42.7,5.8,"IP Road, north intersection",2670.0,814.0,17.0
division2,43.8,6.9,"Stratton Pond Trail to Stratton Pond Shelter, 600 ft S via Stratton Pond Trail and spur; to Stratton View Shelter via Lye Brook Trail, 0.8 mi W; to Kelley Stand Road, 3.8 mi S; to Manchester via Lye Brook Trail, 9.5 mi NW",2620.0,799.0,16.1
division2,45.8,8.9,Winhall River bridge,2175.0,663.0,14.1
division2,48.6,11.7,"Branch Pond Trail to William B. Douglas Shelter, 0.5 mi S; to Bourn Pond, 4.0 mi S; to Kelley Stand Road, 8.3 mi S",2280.0,695.0,11.3
division2,49.5,12.6,"Prospect Rock, 150 ft W via spur; Old Rootville Road to paved public road, 1.8 mi W",2150.0,655.0,10.4
division2,51.6,14.7,"Spruce Peak Shelter, 0.1 mi W via spur",2200.0,671.0,8.3
division2,52.0,15.1,"Spruce Peak, 300 ft W via spur",2040.0,622.0,7.9
division2,54.4,17.5,Vt. 11/30,1800.0,549.0,5.5
division2,55.1,18.2,Bromley Brook bridge,2080.0,634.0,4.8
division2,56.4,19.5,"Bromley Shelter, 330 ft E via spur",2578.0,786.0,3.5
division2,57.4,20.5,"Bromley Mtn., tower, warming hut, 100 ft E",3260.0,994.0,2.5
division2,57.9,21.0,"Bromley Mtn., north summit",3120.0,951.0,2.0
division4,59.9,0.0,USFS Road 21 at Mad Tom Notch,2446.0,746.0,20.6
division4,61.5,1.6,Styles Peak,3394.0,1034.0,19.0
division4,63.2,3.3,Peru Peak,3429.0,1045.0,17.3
division4,64.5,4.6,Peru Peak Shelter,2550.0,777.0,16.0
division4,65.0,5.1,Griffith Lake; Griffith Lake Tenting Area,2600.0,793.0,15.5
division4,65.2,5.3,"Old Job Trail, south junction",2600.0,793.0,15.3
division4,65.3,5.4,Lake Trail to South End Road,2620.0,799.0,15.2
division4,67.1,7.2,Baker Peak Trail to South End Road,2760.0,841.0,13.4
division4,67.7,7.8,Baker Peak,2860.0,872.0,12.8
division4,69.2,9.3,Lost Pond Shelter,2150.0,655.0,11.3
division4,70.7,10.8,"Old Job Trail, north junction",1525.0,465.0,9.8
division4,70.8,10.9,Big Branch suspension bridge,1500.0,457.0,9.7
division4,70.9,11.0,Big Branch Shelter,1470.0,448.0,9.6
division4,72.0,12.1,"USFS Road 10, east junction",1530.0,466.0,8.5
division4,72.2,12.3,"Big Black Branch; USFS Road 10, west junction",1500.0,457.0,8.3
division4,74.2,14.3,Little Rock Pond,1854.0,565.0,6.3
division4,74.5,14.6,Little Rock Pond Tenting Area,1854.0,565.0,6.0
division4,75.5,15.6,Homer Stone Brook bridge,1900.0,579.0,5.0
division4,78.5,18.6,White Rocks Cliff Trail to vista,2400.0,732.0,2.0
division4,79.0,19.1,Greenwall Shelter,2300.0,701.0,1.5
division4,79.7,19.8,Keewaydin Trail to White Rocks Picnic Area,1380.0,421.0,0.8
division4,80.5,20.6,Vt. 140; Roaring Brook bridge,1160.0,354.0,0.0
division5,80.5,0.0,Vt. 140,1300.0,396.0,24.0
division5,81.5,1.0,Domed ledge,1575.0,480.0,23.0
division5,82.6,2.1,Bear Mountain,2262.0,689.0,21.9
division5,83.2,2.7,Patch Hollow,1800.0,549.0,21.3
division5,84.1,3.6,Minerva Hinchey Shelter,1530.0,466.0,20.4
division5,86.0,5.5,Airport Lookout,1400.0,427.0,18.5
division5,86.7,6.2,Clarendon Gorge suspension bridge,800.0,244.0,17.8
division5,86.8,6.3,Vt. 103,860.0,262.0,17.7
division5,87.8,7.3,Clarendon Shelter,1350.0,412.0,16.7
division5,88.3,7.8,Beacon Hill,1740.0,530.0,16.2
division5,90.7,10.2,Cold River Road,1400.0,427.0,13.8
division5,91.5,11.0,Gould Brook ford,1480.0,451.0,13.0
division5,92.3,11.8,Upper Cold River Road,1630.0,497.0,12.2
division5,93.9,13.4,Governor Clement Shelter,1850.0,564.0,10.6
division5,96.6,16.1,Shrewsbury Peak Trail,3500.0,1067.0,7.9
division5,98.2,17.7,Killington Spur,3900.0,1189.0,6.3
division5,98.4,17.9,Bucklin Trail,3770.0,1149.0,6.1
division5,100.7,20.2,"Jungle Junction, Sherburne Pass",3480.0,1061.0,3.8
division5,102.3,21.8,Mendon Lookout,2890.0,881.0,2.2
division5,102.6,22.1,Churchill Scott Shelter,2560.0,780.0,1.9
